TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BGIP3;61,31;5,31;8,72;1,45;0,10;30,63;13,40;8,09;5,27;4,21;;;0,71;14,47;-0,10;;16,64;1,19;;0,07;0,93;0,15;24,17;22,76;21.857,33;42,26;7,03;2,68;1.054.678.019,46
BGIP4;36,58;12,11;5,20;0,87;0,06;30,63;13,40;8,09;3,14;4,21;;;0,42;8,63;-0,06;;16,64;1,19;;0,07;0,93;0,15;24,17;22,76;53.339,16;42,26;7,03;1,60;1.054.678.019,46
BHIA3;2,87;;-1,71;0,84;0,09;30,06;-1,82;-5,98;-5,64;-20,02;-14,38;2,15;0,10;-0,68;-0,15;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;10.129.664,19;3,41;-1,68;0,16;2.728.302.489,15
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;7,44;;-16,51;3,58;2,10;15,98;-30,34;-43,27;-23,54;-24,17;-0,63;0,10;7,14;6,65;-4,50;2,45;-21,71;-12,72;-11,51;0,59;0,41;0,29;74,06;;405.269,10;2,08;-0,45;0,94;1.018.100.998,08
BLAU3;10,08;8,40;7,43;1,04;0,65;40,23;23,08;17,89;5,76;5,72;-0,04;-0,01;1,33;2,08;-1,35;2,47;14,03;8,71;7,73;0,62;0,38;0,49;7,57;4,47;3.795.765,00;9,67;1,36;0,11;2.350.778.179,68
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;68,19;2,50;13,17;3,62;0,24;48,05;0,04;7,76;2.867,80;2.991,87;;;1,02;1,34;-0,29;;27,47;1,80;;0,07;0,93;0,23;29,99;28,55;595.946,38;18,85;5,18;0,52;8.802.072.698,14
BMEB4;77,39;2,43;14,94;4,10;0,27;48,05;0,04;7,76;3.254,71;2.991,87;;;1,16;1,52;-0,33;;27,47;1,80;;0,07;0,93;0,23;29,99;28,55;3.109.255,05;18,85;5,18;0,59;8.802.072.698,14
BMGB4;5,07;10,79;5,24;0,65;0,06;30,00;4,22;6,63;8,23;8,23;;;0,35;-0,15;-0,06;0,03;12,48;1,19;;0,10;0,90;0,18;16,75;13,06;7.589.765,33;7,75;0,97;0,04;3.037.377.650,58
BMIN3;22,00;2,33;10,21;0,75;0,17;6,48;14,97;14,50;9,89;9,64;;;1,48;10,80;-0,17;;7,31;1,66;;0,23;0,77;0,11;44,93;33,47;4.399,00;29,47;2,15;0,23;103.455.856,60
BMIN4;18,20;7,69;8,45;0,62;0,14;6,48;14,97;14,50;8,18;9,64;;;1,23;8,94;-0,14;;7,31;1,66;;0,23;0,77;0,11;44,93;33,47;44.665,42;29,47;2,15;0,19;103.455.856,60
BMKS3;386,00;39,67;2,94;0,71;0,65;29,43;-152,67;422,10;-8,12;0,36;8,49;-0,75;12,40;0,82;-3,42;58,78;24,32;22,18;-23,10;0,91;0,09;0,05;-0,59;85,96;25.663,00;540,16;131,35;0,01;175.533.500,00
BMOB3;24,54;10,76;14,31;2,16;1,13;25,01;8,65;8,98;14,86;12,43;-2,43;-0,35;1,29;3,56;-3,56;1,86;15,09;7,87;8,96;0,52;0,48;0,88;58,14;32,67;8.759.435,19;11,37;1,72;0,61;2.100.829.939,68
BNBR3;123,00;5,71;4,30;0,76;0,17;45,77;50,32;28,85;2,47;2,47;;;1,24;4,38;-0,17;;17,57;3,85;;0,22;0,78;0,13;20,69;22,60;46.841,31;162,78;28,60;0,13;12.140.069.127,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;5,59;4.212.250.617,75
BOBR3;1,00;;-0,17;-0,16;0,31;41,07;16,86;-97,15;0,97;2,00;0,90;;0,16;-5,27;-0,58;0,89;-96,55;-187,10;-15,91;-1,94;2,94;1,93;8,56;;0,00;-6,17;-5,96;0,00;297.378.117,60
BOBR4;1,30;;-0,22;-0,21;0,41;41,07;16,86;-97,15;1,26;2,00;0,90;;0,21;-6,85;-0,76;0,89;-96,55;-187,10;-15,91;-1,94;2,94;1,93;8,56;;9.268,67;-6,17;-5,96;0,00;297.378.117,60
BPAC11;55,23;2,26;13,47;3,07;0,31;17,74;27,45;25,42;12,48;12,48;;;3,42;-14,23;-2,53;0,98;22,79;2,33;;0,10;0,90;0,09;36,59;37,20;484.530.845,52;17,99;4,10;0,28;214.845.868.409,06
BPAC3;36,50;1,14;26,71;6,09;0,62;17,74;27,45;25,42;24,73;12,48;;;6,79;-28,21;-5,01;0,98;22,79;2,33;;0,10;0,90;0,09;36,59;37,20;249.345,52;6,00;1,37;0,55;214.845.868.409,06
BPAC5;11,17;3,72;8,17;1,86;0,19;17,74;27,45;25,42;7,57;12,48;;;2,08;-8,63;-1,53;0,98;22,79;2,33;;0,10;0,90;0,09;36,59;37,20;113.694,62;6,00;1,37;0,17;214.845.868.409,06
